2021-03-02 16:55:33.590 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 20:48:17.085 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [sortParagraphsBySentenceNumber] -- Text was sorted
2021-03-03 20:48:17.095 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [sortParagraphsBySentenceNumber] -- Text was sorted
2021-03-03 20:49:43.810 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [sortParagraphsBySentenceNumber] -- Text was sorted
2021-03-03 20:49:43.815 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [sortParagraphsBySentenceNumber] -- Text was sorted
2021-03-03 21:28:14.143 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [removeSentencesBySpecificValue] -- Sentences with fewer than 3 words have been removed
2021-03-03 21:28:34.544 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [removeSentencesBySpecificValue] -- Sentences with fewer than 3 words have been removed
2021-03-03 21:29:41.499 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [removeSentencesBySpecificValue] -- Sentences with fewer than 3 words have been removed
2021-03-03 21:34:51.836 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 21:35:44.924 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 21:36:39.631 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 21:36:39.685 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [removeSentencesBySpecificValue] -- Sentences with fewer than 17 words have been removed
2021-03-03 21:37:01.073 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 21:37:38.082 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 21:38:29.946 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 21:39:16.592 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 21:41:00.722 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 21:41:37.411 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 21:42:36.138 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 21:43:14.024 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 21:43:59.516 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 21:43:59.552 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [removeSentencesBySpecificValue] -- Sentences with fewer than 0 words have been removed
2021-03-03 21:44:36.013 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 21:44:36.046 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [removeSentencesBySpecificValue] -- Sentences with fewer than 2 words have been removed
2021-03-03 21:44:48.745 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 21:47:05.438 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [removeSentencesBySpecificValue] -- Sentences with fewer than 4 words have been removed
2021-03-03 21:47:14.199 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 21:47:42.165 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 21:47:42.200 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [removeSentencesBySpecificValue] -- Sentences with fewer than 19 words have been removed
2021-03-03 21:48:17.509 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 21:48:26.390 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 21:48:26.435 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [removeSentencesBySpecificValue] -- Sentences with fewer than 19 words have been removed
2021-03-03 21:54:05.518 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 21:55:21.376 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 21:55:39.687 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 21:55:39.719 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [removeSentencesBySpecificValue] -- Sentences with fewer than 19 words have been removed
2021-03-03 21:56:05.782 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 21:57:53.603 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 22:00:16.080 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 22:00:16.118 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [removeSentencesBySpecificValue] -- Sentences with fewer than 19 words have been removed
2021-03-03 22:00:50.704 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 22:01:10.559 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 22:01:22.606 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 22:01:31.768 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 22:02:21.968 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 22:02:31.651 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 22:02:49.502 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 22:03:10.087 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 22:03:10.124 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [removeSentencesBySpecificValue] -- Sentences with fewer than 19 words have been removed
2021-03-03 22:03:21.998 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 22:03:22.031 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [removeSentencesBySpecificValue] -- Sentences with fewer than 19 words have been removed
2021-03-03 22:05:28.315 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 22:08:24.272 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 22:09:49.864 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 22:12:42.411 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 22:14:01.042 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 22:19:17.819 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
